Date,Algo 1,Algo 2
2015-05-27,0.00093507,0.010524716
2015-05-28,0.003087414,0.001251572
2015-05-29,-0.001715396,-0.005320328
2015-06-01,-0.006465166,0.000898274
2015-06-02,0.007561035,0.001603263
2015-06-03,-0.005905825,0.007484482
2015-06-04,-0.002927876,-0.008629694
2015-06-05,-0.008371584,0.003024609
2015-06-08,0.000958727,-0.002507053
2015-06-09,0.002169684,-0.003834393
2015-06-10,0.002859579,0.010137207
2015-06-11,-0.001832977,0.002096154
2015-06-12,0.000493015,0.000163402
2015-06-15,-0.002815044,-0.002586566
2015-06-16,-0.002116068,-3.50E-05
2015-06-17,0.003206079,-0.001782505
2015-06-18,-0.000325364,0.007018101
2015-06-19,0.006584008,-0.003913609
2015-06-22,-0.002142281,0.005757918
2015-06-23,0.003053999,0.001969706
2015-06-24,0.003789713,-0.007285985
2015-06-25,-0.007597589,-4.78E-05
2015-06-26,0.003362275,-0.002704217
2015-06-29,0.000902537,-0.023735762
2015-06-30,0.002524384,0.007394597
2015-07-01,-0.007846883,0.00272419
2015-07-02,-0.002004658,-0.005172347
2015-07-06,-0.014638323,-0.004958022
2015-07-07,-0.004610845,-0.002519074
2015-07-08,-0.013853486,-0.015528132
2015-07-09,0.014090383,0.003623579
2015-07-10,0.003362088,0.01438138
2015-07-13,0.004215344,0.00857531
2015-07-14,0.005465131,0.003058353
2015-07-15,-0.009467996,-0.004187951
2015-07-16,-0.007925373,0.007272302
2015-07-17,-0.009170176,-0.001351831
2015-07-20,-0.013242908,-0.006227552
2015-07-21,6.90E-05,-0.004191838
2015-07-22,-0.0111066,0.001176577
2015-07-23,-0.000996799,-0.007480553
2015-07-24,0.002823445,-0.011761562
2015-07-27,-0.004580712,-0.010165728
2015-07-28,0.010567034,0.006345482
2015-07-29,0.011991737,0.003721428
2015-07-30,-0.002262951,0.002934352
2015-07-31,-0.003018468,0.003567712
2015-08-03,-0.009612472,-0.005728346
2015-08-04,-0.002919741,-0.000284113
2015-08-05,-0.003709368,0.001362738
2015-08-06,0.010591737,-0.012011225
2015-08-07,-0.000374279,0.013425256
2015-08-10,0.007061601,0.010773575
2015-08-11,-0.011918114,-0.00312653
2015-08-12,0.003025527,0.002437002
2015-08-13,-0.003447237,-0.004732044
2015-08-14,-0.005043346,0.001774714
2015-08-17,0.000945741,0.003387684
2015-08-18,-0.005918607,-0.003775688
2015-08-19,-0.015195114,0.002400565
2015-08-20,-0.01402145,-0.01888039
2015-08-21,0.003430457,-0.015338381
2015-08-24,0.001510549,-0.036937023
2015-08-25,0.010168,-0.001084441
2015-08-26,0.019370707,0.019908667
2015-08-27,0.031119864,0.022347121
2015-08-28,0.017295562,0.012835976
2015-08-31,0.00363034,-0.001487393
2015-09-01,-0.005834106,-0.022656375
2015-09-02,0.00728865,0.01135936
2015-09-03,0.001382878,-0.001680112
2015-09-04,-0.008472228,-0.005795145
2015-09-08,0.001223448,0.015972371
2015-09-09,0.007693015,-0.007735099
2015-09-10,-0.005218002,0.004262317
2015-09-11,0.005596581,0.001545763
2015-09-14,0.00359956,-0.002716802
2015-09-15,0.002118737,0.00832596
2015-09-16,0.015945289,0.009891816
2015-09-17,-0.004330864,0.00372426
